Timestamp,Iteration,Particle_Count,Avg_Frame_Time,P99_Frame_Time,Result
2026-03-22T16:18:56.150242,45,281000,23.53,24.54,Fail
2026-03-22T16:18:58.806488,45,265000,21.18,22.24,Fail
2026-03-22T16:19:01.279015,45,257000,19.57,20.76,Fail
2026-03-22T16:19:03.642869,45,253000,18.73,19.45,Fail
2026-03-22T16:19:06.172061,45,251000,20.49,33.97,Fail
2026-03-22T16:19:08.166399,52,250000,18.92,19.92,Fail
2026-03-22T16:19:08.953242,52,125000,5.80,6.26,Pass
2026-03-22T16:19:10.281789,52,187000,10.27,11.06,Pass
2026-03-22T16:19:11.952552,52,218000,13.12,13.50,Pass
2026-03-22T16:19:13.861943,52,234000,15.17,16.02,Pass
2026-03-22T16:19:16.057323,52,242000,17.57,18.10,Fail
2026-03-22T16:19:18.227707,52,238000,17.13,18.01,Fail
2026-03-22T16:19:20.330452,52,236000,16.55,17.45,Fail
2026-03-22T16:19:22.412377,52,235000,16.40,17.01,Fail
2026-03-22T16:19:33.024857,62,250000,26.58,28.04,Fail
2026-03-22T16:19:34.042901,62,125000,7.86,8.86,Pass
2026-03-22T16:19:35.992936,62,187000,15.50,16.50,Pass
2026-03-22T16:19:37.431332,62,218000,11.30,11.87,Pass
2026-03-22T16:19:39.257725,62,234000,14.59,15.31,Pass
2026-03-22T16:19:41.612295,62,242000,18.94,19.63,Fail
2026-03-22T16:19:43.876822,62,238000,17.78,18.53,Fail
2026-03-22T16:19:45.975803,62,236000,16.33,17.12,Fail
2026-03-22T16:19:47.974788,62,235000,15.73,16.48,Pass
2026-03-22T16:20:20.072316,71,250000,6.55,6.93,Pass
2026-03-22T16:20:21.668225,71,375000,12.60,13.00,Pass
2026-03-22T16:20:24.564343,71,438000,23.87,25.71,Fail
2026-03-22T16:20:27.138838,71,406000,19.85,22.26,Fail
2026-03-22T16:20:29.264130,71,390000,16.47,17.79,Fail
2026-03-22T16:20:31.237370,71,382000,15.30,16.19,Pass
2026-03-22T16:20:33.231177,71,386000,15.62,16.24,Pass
2026-03-22T16:20:35.278261,71,388000,15.90,16.55,Pass
2026-03-22T16:20:37.323486,71,389000,15.96,16.67,Fail
2026-03-22T16:20:54.406510,80,250000,4.78,4.99,Pass
2026-03-22T16:20:55.356302,80,375000,7.17,7.50,Pass
2026-03-22T16:20:56.509471,80,438000,8.79,9.41,Pass
2026-03-22T16:20:57.910128,80,469000,10.84,11.06,Pass
2026-03-22T16:20:59.572113,80,485000,12.75,13.07,Pass
2026-03-22T16:21:01.299112,80,493000,13.27,14.03,Pass
2026-03-22T16:21:02.990798,80,497000,12.75,13.86,Pass
2026-03-22T16:21:04.619885,80,499000,12.35,13.17,Pass
2026-03-22T16:21:06.210961,80,500000,12.13,12.75,Pass
